n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
10,701.2000,807,943,437,404,745,820,590,455,987,958
