n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
10,700.6600,595,697,162,441,57,93,86,369,855,173
