n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
10,700.6100,855,399,443,622,780,785,2,712,456,272
