n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,700.6000,323,453,934,488,655,625,829,565,505,989
10,699.7800,505,323,625,655,934,209,989,565,488,453
10,699.7800,505,323,625,655,934,209,989,565,488,453
10,699.7800,505,323,625,655,934,209,989,565,488,453
