n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
7412,12004,11124,47324,22162,40388,32975,27815,4683,20759,56448,51581,66724,48766,71326,58307,65806,35158,4708,3597,47712,135.78,46.33,46.925257278469175
60934,41741,49809,55523,68911,21559,73467,23256,30949,30225,3127,23163,42617,22752,17917,66868,66876,47145,67336,73385,23834,78.0,43.05,41.56222794316042
58410,54351,68860,47743,46371,47433,58427,21126,52410,60477,69514,32755,64227,36582,65282,65646,67553,46389,59596,60425,45976,41.22,31.85,31.79990076661855
74410,73083,59841,63780,29073,42554,21767,35145,62883,40575,39753,66092,73687,67862,66500,53303,40874,27239,64081,67094,48050,34.67,28.64,29.02454527366432
9879,44755,1103,25087,13914,7701,75289,6410,35795,29703,13928,68467,17891,34844,32090,27587,7914,55432,4177,7444,47494,154.3,55.73,58.215913946332805
47214,22528,32702,3072,10866,15102,8842,3321,5357,2771,48902,33513,16749,20593,24083,68562,253,50536,5657,32483,19846,93.68,44.78,44.53030108800079
4753,549,45115,14826,37490,44199,64062,4038,40420,58805,72286,5999,34595,52671,20113,61968,29560,12249,41458,13375,3172,85.65,34.32,35.591220757476385
58696,16716,67932,51505,63821,67476,42986,18852,44702,33960,34319,55018,2363,73131,18424,7442,33156,4398,17262,21124,22375,118.8,66.19,69.3819943883613
12566,59426,30363,66618,4115,32343,30470,58287,9640,32870,10542,29911,47163,33634,55445,36534,68968,632,19807,4652,50430,102.83,41.36,42.84791375613056
53572,21002,14571,67119,11510,31570,13357,13077,2595,23823,30346,13791,28488,3203,68253,60870,59488,40596,70193,49807,27846,88.32,38.8,39.277341514300524
27543,56850,55784,67043,2794,6715,54790,68821,23753,12292,62888,47996,2553,68053,15543,48035,37955,48788,40406,2497,54034,151.78,45.6,44.36005985603232
13259,13764,40097,26003,2060,59168,7863,53827,63683,60730,27295,9671,698,37271,3164,48877,40084,10033,28726,64283,25212,84.21,45.17,43.827173731761256
15173,74914,48941,51351,60715,18306,45211,51779,15955,33313,15960,16116,10552,43841,51262,27788,13815,3233,61652,5659,65267,236.75,71.0,73.1912142043152
38109,46869,59904,18542,49140,35250,63465,68983,62594,54914,64503,38897,51730,30359,20499,64066,34000,71901,56053,11050,75464,69.02,34.33,34.53351632096786
