n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,92.7800,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
10,92.7600,896,327,62,458,111,82,308,841,191,33
