n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,98.0900,257,36,430,620,685,621,753,21,315,31
10,96.2900,257,36,430,620,685,621,753,21,315,31
10,94.2000,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
10,93.9700,257,36,430,620,685,621,753,21,315,31
