n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,103.2500,547,102,426,938,944,657,177,22,857,19
10,100.9500,102,938,426,569,944,657,177,22,857,19
10,99.9400,547,102,938,426,866,657,177,19,22,857
10,99.9400,547,102,938,426,866,657,177,19,22,857
10,99.9400,547,102,938,426,866,657,177,19,22,857
10,99.5200,547,102,426,938,944,657,177,22,857,19
10,99.5200,547,102,426,938,944,657,177,22,857,19
10,99.5200,547,102,426,938,944,657,177,22,857,19
10,99.5000,547,102,938,74,944,657,177,19,22,857
10,99.0900,547,102,938,426,866,657,177,19,22,857
10,95.6400,547,102,938,74,944,657,177,19,22,857
10,95.6400,547,102,938,74,944,657,177,19,22,857
10,94.0500,547,102,426,938,944,657,177,22,857,19
10,93.2900,102,938,426,569,944,657,177,22,857,19
10,93.2900,102,938,426,569,944,657,177,22,857,19
10,93.2900,102,938,426,569,944,657,177,22,857,19
