n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,95.6900,352,68,372,154,654,495,819,20,918,31
10,95.6900,352,68,372,154,654,495,819,20,918,31
10,95.6900,352,68,372,154,654,495,819,20,918,31
10,95.6900,352,68,372,154,654,495,819,20,918,31
10,95.6900,352,68,372,154,654,495,819,20,918,31
10,95.0500,352,68,654,495,819,324,20,918,154,31
10,94.0800,352,68,372,154,654,495,819,20,918,31
10,94.0800,352,68,372,154,654,495,819,20,918,31
10,93.5300,352,68,654,168,819,372,20,918,154,31
10,93.4200,352,68,372,154,654,495,819,20,918,31
10,93.4200,352,68,372,154,654,495,819,20,918,31
10,93.4200,352,68,372,154,654,495,819,20,918,31
10,93.4200,352,68,372,154,654,495,819,20,918,31
10,91.8000,352,68,372,154,654,495,819,20,918,31
10,91.4500,352,68,372,154,654,495,819,20,918,31
10,91.4500,352,68,372,154,654,495,819,20,918,31
