n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,123.8500,2,227,68,7,903,298,586,721,20,60
10,122.3900,930,227,68,7,903,298,586,721,20,60
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.8800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,121.3800,7,930,298,586,721,903,60,227,68,20
10,120.1600,930,227,627,7,903,298,586,721,20,60
10,119.5300,930,227,68,7,903,298,328,721,20,60
