n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,167.4200,227,325,104,9,100,22,31
7,166.7900,227,325,104,9,46,22,31
7,166.7900,227,325,104,9,46,22,31
7,164.3700,227,325,104,9,166,22,31
7,163.4700,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
7,163.1300,104,9,325,31,22,227,782
