n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,142.2800,68,422,7,200,632,207,320
7,142.2800,68,422,7,200,632,207,320
7,142.2800,68,422,7,200,632,207,320
7,142.2800,68,422,7,200,632,207,320
7,141.3600,68,422,7,200,632,207,320
7,141.1500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
7,140.9500,68,422,7,200,632,207,320
