n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,134.7300,65,61,99,36,13,374,535
7,127.7500,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,126.6600,65,535,374,99,36,13,930
7,125.9900,65,535,374,99,36,13,930
7,125.7900,65,535,374,99,36,13,930
7,125.7900,65,535,374,99,36,13,930
