n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,180.5300,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,180.0400,3,937,940,36,14,561,95
7,179.4900,3,937,940,36,14,561,95
7,178.2400,937,940,3,46,561,14,95
