n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
7070,6955,463,750,695,2957,6844,1385,6029,2012.03,266.99,315.60000000000036
6627,5486,6994,2524,2060,4963,1738,4970,292,1754.73,34.33,31.08000000000003
4761,5580,1297,3528,5230,3223,6583,5922,7047,2014.51,171.54,179.9200000000002
4170,3047,4457,3644,4112,2197,294,224,2982,1934.21,62.61,64.83999999999995
3808,2608,3113,3470,4306,1347,4591,1453,1934,2015.95,239.13,269.43999999999994
1889,195,1447,2663,1422,1119,4179,4179,2946,1973.53,47.26,67.75999999999996
4208,5525,4586,1489,3650,6527,3396,6016,4303,2016.27,299.55,346.3199999999993
6249,2983,6469,4861,2898,2964,7036,3651,1320,1896.66,36.82,40.080000000000055
6176,3275,5858,6050,3779,5365,4344,2047,4014,2020.13,100.24,101.47999999999995
2286,4080,4102,4222,6811,6522,2899,5420,3724,2019.21,133.08,136.07999999999976
3776,2873,4650,5946,4567,5929,3740,3986,5397,1798.84,38.6,37.43999999999996
1817,2659,6673,5730,6840,1360,5049,2196,6332,1856.45,34.14,36.03999999999997
3930,2535,2484,6547,5785,6808,4130,4605,4241,2016.56,386.18,470.36
4156,5336,5044,4816,3331,2554,5987,1702,4005,1512.3,34.29,35.760000000000026
4193,3003,5605,5105,617,6424,6720,2797,5946,2017.23,154.94,160.76000000000025
68,6676,1567,6101,869,481,4705,5348,400,1953.46,65.53,61.879999999999995
2237,4847,1856,5590,870,6179,4279,1118,6995,2013.76,422.47,524.8800000000001
2177,2005,6756,1724,494,3464,5873,6221,261,1953.7,66.24,63.760000000000204
465,2968,2950,1408,2043,5511,192,679,943,2012.28,145.59,154.0
552,207,334,5975,173,3056,2094,1046,6662,2010.64,423.7,541.6799999999996
1287,6019,1505,4285,5664,15,3158,4828,353,2009.66,498.81,675.7999999999997
6505,2030,1240,297,34,2819,5040,5142,6082,2012.85,403.64,460.47999999999956
6124,926,2343,2762,4003,252,2526,3675,4517,2015.14,167.9,186.88
6274,4957,6061,374,2162,6190,3291,7065,5092,2017.11,140.31,156.76000000000013
5778,1257,3873,1847,765,5413,5631,2591,6868,2014.45,116.4,119.12000000000016
835,198,3668,6458,1044,4245,4791,6398,3219,2014.45,264.88,293.99999999999994
3988,4217,2686,1178,2793,2122,2144,4964,3438,2015.56,283.89,317.2000000000003
5351,147,5730,4570,1151,5493,465,2072,274,2010.06,276.53,305.80000000000024
1078,1320,1398,785,3714,5202,1897,4163,5800,2018.01,850.87,1559.8800000000042
257,2021,1904,5848,3642,602,2054,658,4843,2013.36,216.91,233.12
1869,5113,6484,6555,5111,5812,2947,2102,5607,2016.21,80.86,82.44000000000011
3465,2283,4310,6149,39,1237,290,3151,3348,1873.43,47.23,55.359999999999985
1312,910,4194,5929,719,1973,834,817,162,2010.23,147.12,151.71999999999957
1488,6148,1896,861,1780,200,4265,5484,3804,1093.81,16.04,17.039999999999996
3718,2537,4387,5257,3112,1740,5608,6230,1721,2014.47,491.85,753.2399999999993
5971,6603,3553,3486,4190,174,4760,4844,419,2014.91,98.22,92.5600000000002
