n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,56.4700,646,9,554,22,46,26,31
7,55.5700,646,9,552,22,665,26,31
7,55.5700,646,9,552,22,665,26,31
7,55.5700,646,9,552,22,665,26,31
7,55.4100,646,9,554,22,100,26,31
7,55.4100,646,9,554,22,100,26,31
7,55.1700,554,9,22,665,26,646,31
7,54.9200,554,9,22,665,26,646,31
7,54.7800,646,9,554,22,46,26,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
7,54.5500,554,9,22,665,26,646,31
