n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,30.1500,36,165,139,176,177,595,180
7,29.8100,36,165,139,176,177,595,180
7,29.4800,36,165,139,176,177,595,180
7,29.4800,36,165,139,176,177,595,180
7,28.9000,36,165,139,176,177,298,180
7,28.7100,36,165,139,176,177,595,180
7,28.7100,36,165,139,176,177,595,180
7,28.7100,36,165,139,176,177,595,180
7,28.7100,36,165,139,176,177,595,180
7,28.7100,36,165,139,176,177,595,180
7,28.5700,36,165,139,176,177,541,180
7,28.5700,36,165,139,176,177,541,180
7,28.5700,36,165,139,176,177,541,180
7,28.5700,36,165,139,176,177,541,180
7,28.4600,36,55,139,176,177,595,180
7,28.4600,36,55,139,176,177,595,180
