n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.9900,540,99,67,36,805,137,13
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.8100,137,805,67,99,36,13,930
7,38.7400,137,805,67,99,36,13,930
