n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,44.9400,79,7,44,47,816,83,37
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.3800,79,7,44,47,816,83,409
7,44.0900,79,7,44,47,816,83,409
7,43.9600,7,44,47,236,79,83,409
