n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,194.6500,36,39,937,716,14,581,82,153,862,95
10,193.5100,36,39,937,716,14,429,82,153,862,95
10,193.5100,36,39,937,716,14,429,82,153,862,95
10,193.3000,36,39,573,716,14,945,82,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
10,193.2100,39,937,716,14,945,82,36,153,862,95
