n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,185.1100,644,102,938,426,71,914,351,22,190,19
10,185.1100,644,102,938,426,71,914,351,22,190,19
10,180.7000,644,102,71,426,938,914,19,22,857,294
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,426,938,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
10,179.8000,644,102,71,938,426,914,22,857,190,19
