generation number, individual number, fitness, candidate
0, 0, 363.15, [14485, 9710, 19865, 18487, 12545, 9572, 5346, 4241, 9124, 2042, 6264, 3501, 1000, 12927, 18208, 24924, 21491, 231, 13801, 13520, 13142, 14599, 21012, 13929, 14265, 4550, 6700, 2710, 13556, 7264]
0, 1, 361.41, [11275, 2710, 3651, 10762, 5695, 4952, 14924, 9124, 543, 19865, 449, 23038, 24559, 2115, 22691, 7007, 22177, 21281, 1217, 9184, 2072, 9710, 676, 9829, 24924, 4550, 17075, 13142, 615, 24330]
0, 2, 353.77, [9785, 11275, 19423, 13929, 6264, 20511, 13008, 9017, 3345, 7007, 18208, 23382, 12365, 3651, 6700, 4952, 2115, 2654, 6610, 19865, 12545, 12842, 16994, 14265, 17655, 3501, 1488, 449, 543, 1000]
0, 3, 353.58, [14599, 6700, 18487, 13096, 20478, 17655, 21012, 2710, 2042, 6264, 24924, 13556, 14265, 9124, 20765, 9710, 12781, 15144, 15108, 23382, 10711, 7007, 2846, 12587, 4952, 11400, 24371, 449, 7689, 21508]
0, 4, 353.08, [13142, 6264, 4241, 1653, 22366, 5052, 12781, 21491, 19865, 3651, 18208, 21508, 15066, 339, 4416, 24371, 5695, 16994, 1000, 14265, 543, 3345, 13556, 13801, 2710, 1488, 13096, 6610, 20765, 9572]
0, 5, 352.18, [14265, 12842, 18208, 7689, 23382, 5052, 6264, 543, 22691, 25006, 12365, 12545, 12587, 676, 22366, 6700, 24330, 5695, 14485, 21281, 20511, 16994, 22177, 16310, 2115, 7350, 449, 20765, 24924, 10762]
0, 6, 347.91, [19297, 15003, 20511, 15244, 22691, 4416, 14265, 21508, 12842, 2846, 7689, 1488, 1217, 3501, 18866, 9572, 12365, 13801, 12781, 2115, 5901, 22457, 6264, 615, 9829, 17655, 17075, 9710, 7712, 21281]
0, 7, 347.85, [11400, 7007, 10762, 7307, 15108, 2846, 14924, 14599, 6264, 2072, 5052, 4164, 16994, 12545, 9829, 4416, 13276, 3651, 24330, 13801, 24057, 15003, 14265, 3345, 15244, 6610, 15066, 23614, 20478, 17626]
0, 8, 345.32, [7350, 24924, 14265, 13276, 13008, 22366, 24330, 21491, 24371, 5346, 21281, 4164, 12545, 7307, 615, 18866, 20765, 1488, 18208, 339, 20478, 2042, 15244, 13556, 16469, 543, 15108, 13929, 13142, 9710]
0, 9, 345.29, [9572, 4416, 13096, 18208, 21281, 15108, 4241, 449, 231, 17075, 20765, 12842, 9017, 5052, 22691, 9710, 5901, 21508, 20478, 7350, 21012, 20373, 2115, 3651, 24924, 15244, 7007, 1000, 22366, 18487]
