n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,58.4800,2,7,298,44,783,177,83,531,60,287
10,52.7400,177,227,7,298,44,783,83,531,60,287
10,52.7400,177,227,7,298,44,783,83,531,60,287
10,52.7400,177,227,7,298,44,783,83,531,60,287
10,52.7400,177,227,7,298,44,783,83,531,60,287
10,52.7400,177,227,7,298,44,783,83,531,60,287
10,52.3400,7,930,298,44,83,783,60,227,287,531
10,52.3400,7,930,298,44,83,783,60,227,287,531
10,52.3400,7,930,298,44,83,783,60,227,287,531
10,52.3400,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
10,52.3300,7,930,298,44,83,783,60,227,287,531
