n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,49.1700,102,426,76,118,657,177,22,857,569,190
10,47.0800,102,426,938,569,944,657,177,22,857,19
10,46.3900,102,426,938,944,657,508,19,22,857,569
10,46.1600,102,938,426,944,866,177,19,22,857,569
10,46.1300,102,426,938,944,866,177,19,22,857,569
10,46.1300,102,938,76,118,657,177,22,857,569,190
10,46.1300,102,938,76,118,657,177,22,857,569,190
10,45.7000,866,102,938,426,569,944,177,19,22,294
10,45.0900,102,363,938,944,657,177,19,22,857,569
10,45.0900,102,363,938,944,657,177,19,22,857,569
10,45.0900,102,363,938,944,657,177,19,22,857,569
10,45.0300,102,938,426,569,944,657,177,22,857,19
10,45.0300,102,938,426,569,944,657,177,22,857,19
10,44.9400,102,426,938,944,866,177,19,22,857,569
10,44.9400,102,426,938,944,866,177,19,22,857,569
10,44.9400,102,426,938,944,866,177,19,22,857,569
