n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,40.5500,514,36,10,972,91,621,753,315,828,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.4900,514,36,10,972,557,621,753,315,478,31
10,39.3000,514,36,10,972,540,753,315,91,828,31
10,39.3000,514,36,10,972,540,753,315,91,828,31
10,39.3000,514,36,10,972,540,753,315,91,828,31
10,39.0800,514,36,10,972,557,621,753,315,478,31
10,39.0100,514,36,10,972,557,621,315,91,828,31
10,38.8600,514,36,10,972,557,621,753,315,478,31
10,38.8600,514,36,10,972,557,621,753,315,478,31
