n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,47.8400,99,899,36,102,139,688,374,255,222,31
10,47.3200,99,899,36,139,688,275,374,30,222,31
10,47.2800,99,899,36,139,688,102,374,506,222,31
10,46.4200,99,899,36,102,139,324,374,506,222,31
10,46.3900,99,899,36,139,688,275,374,30,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,46.1500,99,899,36,139,688,102,374,506,222,31
10,45.9300,99,899,36,139,688,275,374,30,222,31
10,45.9300,99,899,36,139,688,275,374,30,222,31
10,45.9300,99,899,36,139,688,275,374,30,222,31
10,45.9300,99,899,36,139,688,275,374,30,222,31
