n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
221360,100989,198693,233372,110250,10612,67873,13.41,12.1,12.080000000000005
253090,134027,127383,106151,240709,205468,217540,12.61,11.12,11.490000000000004
79511,253702,124937,93860,152930,233743,238056,11.85,10.46,10.990000000000004
57263,132300,36509,73882,36633,198129,24859,12.5,11.52,11.340000000000003
162101,209558,65668,258804,238484,139608,257631,12.19,11.96,11.990000000000004
184856,212393,157785,236497,38525,81303,25890,11.75,11.16,11.100000000000003
191321,19331,235625,222946,179302,86559,123769,12.8,12.39,11.920000000000005
146751,26398,92744,113815,82889,160140,167883,12.64,12.07,12.020000000000005
239340,53602,253390,144840,125045,116049,226835,11.78,11.19,11.240000000000004
136669,68286,16326,211033,240770,143838,240122,12.83,11.54,11.960000000000004
3680,24450,188666,220224,104549,186188,216228,12.87,12.2,11.990000000000004
205795,175152,163909,299,160405,129388,217071,12.2,11.81,11.680000000000005
227436,87329,63939,191438,85250,184455,228188,12.07,10.84,11.160000000000004
16510,50087,240391,148769,58118,62551,210592,12.32,11.99,11.550000000000004
253634,37354,210548,142341,117432,23911,21088,13.37,12.01,12.130000000000004
260367,83900,229398,133153,261612,244536,128263,12.43,11.81,11.650000000000004
28588,79022,144511,76307,185220,32718,143508,13.22,11.67,11.740000000000004
87228,213507,241762,141632,53268,252664,209565,13.13,12.01,12.010000000000003
158121,143453,154040,75407,116651,24020,156313,12.6,12.18,11.880000000000004
209173,100899,83111,150903,63466,76108,48200,12.26,11.82,11.750000000000004
49647,215342,48950,8643,160634,257241,172139,11.49,11.04,11.050000000000004
68172,124919,18110,23546,177923,198601,34137,12.71,12.15,11.760000000000005
229840,39203,242058,10129,220845,21036,235450,12.02,11.18,11.280000000000005
183323,241980,217411,141715,179175,102575,219641,12.27,11.03,11.360000000000003
184885,137513,72255,136784,212763,61735,222687,11.19,10.76,10.730000000000002
56413,234629,178120,154612,216337,248975,109949,12.43,11.41,12.060000000000004
151963,72144,118112,129146,173079,168085,261163,13.03,11.3,11.660000000000004
183559,240370,257546,207965,93681,21593,85019,12.07,10.95,11.580000000000004
160637,30238,127518,153898,165189,87889,221532,12.97,11.5,11.730000000000004
49906,63710,4249,191755,71050,30706,184898,10.9,10.74,10.670000000000003
57792,97533,208295,44690,87172,111707,213886,12.08,11.34,11.710000000000004
16303,26373,205289,38366,224217,182890,57350,12.98,11.57,12.030000000000005
11857,214203,150435,166253,238555,245503,140036,13.3,12.5,12.050000000000004
157855,178412,19397,6998,32622,166461,49419,12.68,12.76,12.020000000000005
158947,217602,150982,31377,102553,23994,97029,12.3,12.12,12.010000000000003
218587,257036,30420,9539,158729,5671,51010,12.72,12.14,12.140000000000004
251928,254461,48489,188249,32478,125628,55201,13.2,13.04,12.050000000000004
190619,209910,16013,245620,178086,5972,142668,12.33,11.39,11.680000000000005
111573,162686,26607,219126,68136,18351,57889,12.99,12.05,12.040000000000004
