n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,139.7500,579,99,899,36,137,13,461
7,139.2400,772,99,967,36,137,13,461
7,139.2400,772,99,967,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,137.2000,772,99,899,36,137,13,461
7,136.6600,99,772,899,36,411,13,461
7,136.0000,930,99,967,36,137,13,461
7,136.0000,930,99,967,36,137,13,461
