n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,185.5600,320,68,422,7,200,321,28
7,184.6000,320,68,422,7,331,207,28
7,184.6000,320,68,422,7,331,207,28
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
7,179.1100,68,422,7,200,28,207,320
