n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,700.4400,222,264,265,564,239,196,734
7,699.7600,222,264,988,688,446,797,734
7,699.7600,222,264,988,688,446,797,734
7,699.7600,222,264,988,688,446,797,734
7,699.7600,222,264,988,688,446,797,734
7,699.7600,222,264,988,688,446,797,734
