n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
7,698.3000,520,955,501,111,308,564,849
