n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,701.0500,964,837,560,307,255,860,957
7,700.8600,964,837,560,307,255,860,957
7,699.7200,964,837,560,307,255,860,957
7,699.0000,964,837,560,307,255,860,957
