n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
7,698.7800,336,947,501,472,285,670,255
