n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
7,698.9900,932,593,686,432,849,958,990
