n0,monte_carlo,monte_carlo_max_hop,two_hop
2201,3587.72,5.44,5.460000000000002
9325,1481.43,2.61,2.9000000000000012
1033,4079.82,13.62,14.930000000000033
4179,2386.2,6.87,5.439999999999998
1931,3073.88,10.78,11.010000000000023
8117,2011.74,6.79,6.370000000000015
7364,2330.31,5.95,6.230000000000018
7737,2485.18,4.63,5.700000000000004
6219,2486.4,6.89,6.510000000000001
3439,3014.79,8.78,7.20000000000001
1537,3647.62,8.53,8.319999999999995
7993,2596.57,4.45,4.520000000000001
464,4861.42,16.51,16.53000000000001
6386,2436.76,10.24,7.860000000000015
7090,2223.4,4.44,3.9399999999999995
9952,2161.2,2.89,3.100000000000001
34,5278.69,63.65,61.979999999999976
7297,2003.47,5.76,6.130000000000001
4363,3230.63,5.7,5.34
3748,2547.9,4.15,3.9300000000000015
9685,1903.64,5.35,4.459999999999997
1674,3495.4,6.57,6.74
5200,2116.92,5.73,4.770000000000006
501,4448.46,11.3,10.409999999999998
365,5026.25,19.72,18.97000000000001
416,4277.13,10.08,10.679999999999993
8870,2586.74,3.56,4.589999999999996
150,5085.94,23.96,22.020000000000014
6245,2751.04,6.46,6.340000000000012
3548,3019.84,7.89,8.470000000000013
6915,1752.09,5.06,5.2299999999999995
475,4559.11,12.37,13.250000000000005
8644,1531.25,2.96,2.8700000000000014
3632,2849.78,4.62,4.719999999999999
7174,2446.1,3.37,3.050000000000001
8123,1905.36,4.35,4.149999999999999
9058,2174.26,9.2,7.280000000000038
3818,2117.71,3.45,3.080000000000001
5663,2437.69,4.88,4.950000000000004
3782,2484.18,5.89,6.120000000000003
3584,2327.48,4.91,4.119999999999999
7530,1749.37,2.72,3.0600000000000014
4747,2377.93,6.79,7.630000000000012
352,5071.87,18.64,17.700000000000003
6818,2328.08,2.95,3.2400000000000007
9116,2174.23,4.87,4.189999999999999
1638,4551.64,11.78,10.629999999999997
3045,3237.36,7.92,8.82
4856,2813.56,7.02,6.770000000000007
1980,2849.1,5.62,6.220000000000001
5450,2650.2,5.03,4.509999999999998
8205,2329.94,7.38,6.520000000000003
6915,1851.23,5.34,5.2299999999999995
8318,2117.52,3.07,3.0300000000000007
3110,2701.01,4.35,3.890000000000002
4970,2433.18,4.09,4.629999999999999
4655,2964.22,5.77,5.369999999999996
9626,2598.51,4.15,4.069999999999998
8181,2171.9,4.32,4.179999999999999
8278,2114.56,3.12,2.910000000000001
6444,3442.76,3.26,3.5700000000000003
9650,1750.38,3.25,3.3000000000000003
565,5023.57,16.35,16.76000000000001
7868,2524.95,3.56,3.81
3977,2285.68,5.51,5.100000000000006
6623,2215.99,3.22,3.439999999999999
6788,2488.58,6.08,5.239999999999997
2834,3320.07,5.91,6.049999999999996
6014,2385.19,4.13,3.9
8991,2438.16,4.58,3.879999999999999
6139,2550.99,4.39,4.929999999999998
1416,2910.53,9.04,7.739999999999998
7191,2224.0,3.44,3.610000000000001
8330,2155.88,4.68,5.079999999999995
1768,3756.53,7.9,7.620000000000015
2682,3222.55,10.53,10.300000000000004
8535,1590.76,6.64,5.85000000000002
6443,2119.3,3.17,3.120000000000001
6070,2796.71,4.13,3.93
8023,2640.99,6.21,5.900000000000011
484,4586.4,14.15,12.67000000000001
7689,1903.86,4.1,4.2299999999999995
712,4297.05,9.58,10.500000000000002
5054,2544.93,6.12,5.720000000000005
9718,1955.57,4.05,3.7699999999999982
9472,2326.3,8.1,8.400000000000032
6448,2116.78,8.04,5.900000000000019
2791,3229.47,8.65,7.059999999999997
2762,4177.97,11.53,13.080000000000032
8228,2176.19,7.67,8.54000000000001
3718,2756.45,7.26,8.54000000000002
201,5122.14,22.98,24.590000000000042
3268,3338.59,8.61,10.000000000000016
8841,1475.22,2.69,2.690000000000001
8983,2383.32,3.84,3.6600000000000006
3803,3123.21,12.88,10.960000000000042
6626,2530.73,5.72,5.699999999999996
8417,2378.51,4.58,4.709999999999998
5633,3182.22,8.62,8.620000000000037
9466,2216.27,3.14,3.0100000000000007
