n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
6917,3155,6209,3445,331,2121,4188,3980,3317,6420,6798,2021.78,399.12,474.3999999999994
2484,3904,2933,4779,1789,4134,1140,2308,1144,6191,776,2014.04,308.62,384.9599999999996
5065,6548,2052,4362,5776,6637,4930,1203,2540,809,5978,2019.18,470.65,658.8799999999991
604,6967,5603,2704,3867,4585,824,2898,3556,2590,5004,2017.29,159.57,179.1600000000001
5246,1675,4526,3907,3626,7088,4270,2133,510,6594,4494,2018.99,383.7,471.7999999999998
115,764,5895,6882,3267,5818,6757,6431,5473,5122,9,2018.6,208.22,219.35999999999996
5012,4043,6783,7107,2729,1998,5982,2664,5764,515,1565,2017.59,337.08,425.4000000000004
4649,1816,1954,6581,1167,6579,4448,3669,747,659,2621,2012.31,329.7,434.75999999999976
4161,4008,893,2469,4515,2384,5788,1022,4484,2725,6672,2018.91,329.45,378.19999999999936
4426,1664,6548,4941,4482,4813,2356,3645,750,4884,6536,2018.1,167.21,182.12000000000003
3153,2597,4715,1983,2378,1506,1551,6729,1529,270,5019,2019.11,454.81,589.080000000001
5379,2130,3903,565,735,5560,6206,1066,1225,316,6901,2014.71,296.23,330.40000000000003
657,5728,6794,4428,5599,3205,6863,5777,4297,2257,4274,2017.73,283.62,335.48000000000036
6648,1929,6958,1762,5566,4831,6760,3435,4748,2254,3691,2020.21,159.22,175.00000000000026
4035,5408,5252,5736,6498,2927,674,2656,5019,944,3984,2018.16,267.06,311.8399999999998
4809,5162,2746,6922,1559,1990,132,5992,2220,959,5778,2011.54,634.76,851.6800000000022
1806,3047,6509,1396,2724,3490,6683,509,824,6415,1198,2016.9,626.97,947.9999999999987
7006,5715,1792,370,6693,4701,5195,4376,4932,5575,606,2016.36,242.49,277.2800000000001
218,1019,5201,1544,4967,6800,4718,980,3204,749,3032,2017.87,718.64,1170.3999999999999
6830,950,298,4960,177,1594,1515,5882,1014,3925,1725,2013.85,244.13,283.1600000000001
5956,6559,500,5565,186,4458,3486,5083,831,6847,2129,2014.04,182.86,199.8799999999998
573,1809,589,5299,2466,2869,3572,1477,500,4125,3826,2015.08,314.74,368.0799999999995
322,4886,826,5728,3205,1633,2131,2937,5993,3852,6867,2015.96,484.52,670.3599999999998
4667,1387,5715,5510,1666,6286,475,6460,5539,1296,6925,2016.39,302.87,366.1199999999999
1326,2804,4337,2053,960,4888,3623,5452,1432,108,3863,2013.45,233.71,260.4400000000003
5581,3357,4662,4166,2551,5316,2925,3183,6862,5387,2055,2018.01,93.41,89.5199999999997
1256,4592,5659,101,3751,6074,647,2751,6054,374,4459,2015.71,183.45,189.28000000000006
2300,1104,1967,6243,3947,2885,4998,2358,5516,2942,4835,2014.85,277.32,329.7199999999998
5191,6994,5087,1084,5862,2541,3178,6131,3394,6790,5331,2019.33,379.98,486.0799999999997
661,12,4870,1575,5722,2739,1311,1961,1827,5221,3671,2013.16,347.9,389.6
3101,5819,5519,4654,3394,258,3295,5749,4648,3426,6325,2018.93,130.51,133.88000000000008
5424,5808,383,1357,3648,523,2123,5746,1291,3656,4321,1957.22,52.39,55.20000000000002
3991,4599,4947,6188,0,318,4051,2670,2556,6862,3824,1876.25,67.58,60.36000000000006
408,6627,6739,6655,3400,1540,4493,5186,683,6860,5943,2023.07,814.13,1224.880000000004
1069,120,3291,5558,3420,2590,27,1749,117,5876,6182,2015.02,308.32,342.47999999999996
19,6739,5535,4328,5014,801,1560,974,4983,5318,1626,2012.9,265.85,282.0800000000003
2477,2293,5640,1492,820,3896,6995,3249,5141,666,178,2014.61,425.28,533.3999999999995
2250,3710,6552,6490,948,7056,2101,1092,5354,4266,6695,1997.3,76.98,78.00000000000001
5331,5283,2843,942,1265,2280,6973,152,346,333,1685,2011.49,357.79,435.5600000000002
5578,2127,4574,2578,3005,4648,6958,344,6933,6136,5745,2020.75,164.25,184.8800000000004
4977,5368,4050,5835,5276,3757,5244,3567,3051,4406,1460,1915.98,73.77,77.36000000000018
1702,3076,4809,2384,72,1134,1237,2223,2731,2764,6468,2016.9,257.04,292.6799999999996
3008,5885,767,2770,6384,5083,292,337,2208,1342,1224,2018.1,98.71,97.56000000000003
4779,2371,2956,3234,4493,1062,2403,941,3916,5984,1963,2016.25,194.56,216.64000000000004
395,2522,1471,7020,4284,5969,580,2479,3302,6844,2691,2016.4,328.26,396.52
2451,3397,890,814,4594,3941,3883,2761,6888,6536,6654,2018.73,59.15,63.080000000000005
2815,1018,3924,950,5731,4077,3494,309,2473,2744,6019,2015.97,514.22,657.4399999999998
5628,1275,1364,5134,4624,3076,6603,5233,712,539,6617,2018.5,383.29,455.3200000000004
693,1622,6142,1810,500,3152,64,803,3226,4558,4251,2015.39,402.03,518.2399999999997
2374,3674,4002,6457,4791,5852,5564,1779,3465,685,3017,2019.31,915.62,1545.160000000005
1803,2137,4794,6366,1364,3532,1572,2936,942,523,6733,2017.64,376.31,461.9200000000001
7074,6986,5750,226,4307,3699,6163,5545,1652,974,4072,2017.91,329.73,392.7600000000005
