n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,123.0100,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,122.1600,288,3,517,14,143,635,223
7,117.8500,288,3,516,14,143,30,223
