n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,127.5900,992,644,9,22,100,702,31
7,123.2200,992,74,9,22,221,702,31
7,118.3600,992,9,644,31,22,221,702
7,118.3600,992,9,644,31,22,221,702
7,117.6400,992,9,644,31,22,221,702
7,117.5300,992,9,644,31,22,221,702
7,116.6600,992,9,644,31,22,221,702
7,116.6600,992,9,644,31,22,221,702
7,116.6600,992,9,644,31,22,221,702
7,115.9200,992,644,9,22,46,702,31
7,115.9200,992,644,9,22,46,702,31
7,114.8500,992,9,644,31,22,221,702
7,114.8500,992,9,644,31,22,221,702
7,114.8500,992,9,644,31,22,221,702
7,114.8500,992,9,644,31,22,221,702
7,114.8500,992,9,644,31,22,221,702
