n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,101.1700,215,99,67,36,620,13,18
7,100.6700,579,99,67,36,137,13,18
7,100.6700,579,99,67,36,137,13,18
7,100.6700,579,99,67,36,137,13,18
7,100.6700,579,99,67,36,137,13,18
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,99.7400,137,67,99,18,36,620,13
7,98.7200,99,67,36,716,620,13,18
7,96.3700,137,67,99,18,36,13,930
7,96.3700,137,67,99,18,36,13,930
7,96.3700,137,67,99,18,36,13,930
