n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,97.5300,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
7,93.6800,68,422,7,200,935,207,409
