n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,52.3900,426,938,76,657,914,499,19,22,569,29
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.2365,426,938,76,657,914,499,19,22,857,569
10,45.1447,938,426,76,569,657,910,499,19,22,857
10,44.9970,938,426,76,944,657,508,499,19,22,857
10,44.9962,426,938,76,944,657,914,499,22,857,19
10,43.8572,426,938,478,657,914,499,464,22,569,29
10,43.8572,426,938,478,657,914,499,464,22,569,29
10,43.8265,426,938,478,657,914,499,19,22,166,569
10,42.7508,426,938,478,657,817,499,19,22,857,569
