n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,45.0615,257,36,402,620,170,977,21,538,315,31
10,44.3084,257,36,402,620,170,977,21,538,573,31
10,44.3084,257,36,402,620,170,977,21,538,573,31
10,44.0018,257,36,874,620,977,181,402,21,315,31
10,42.5775,257,36,874,620,977,181,21,890,315,31
10,42.5775,257,36,874,620,977,181,21,890,315,31
10,42.5775,257,36,874,620,977,181,21,890,315,31
10,42.5775,257,36,874,620,977,181,21,890,315,31
10,42.5775,257,36,874,620,977,181,21,890,315,31
10,42.5317,257,36,874,620,977,181,21,552,315,31
10,42.5317,257,36,874,620,977,181,21,552,315,31
10,42.5317,257,36,874,620,977,181,21,552,315,31
10,42.3575,259,36,620,685,621,753,402,21,315,31
10,42.3575,259,36,620,685,621,753,402,21,315,31
10,42.3575,259,36,620,685,621,753,402,21,315,31
10,42.3575,259,36,620,685,621,753,402,21,315,31
