n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,60.1190,100,324,36,38,303,14,561,247,188,95
10,60.1190,100,324,36,38,303,14,561,247,188,95
10,60.1190,100,324,36,38,303,14,561,247,188,95
10,58.8312,100,324,38,589,14,561,36,247,188,95
10,58.8312,100,324,38,589,14,561,36,247,188,95
10,58.8312,100,324,38,589,14,561,36,247,188,95
10,57.8208,256,324,36,38,14,303,605,247,188,95
10,57.7873,256,324,36,38,303,14,561,247,188,95
10,57.7873,256,324,36,38,303,14,561,247,188,95
10,57.7873,256,324,36,38,303,14,561,247,188,95
10,57.1812,256,324,36,38,299,14,561,247,188,95
10,56.9289,256,324,36,38,589,14,223,247,188,95
10,56.5038,256,324,38,589,14,561,36,247,188,95
10,56.5038,256,324,38,589,14,561,36,247,188,95
10,56.5038,256,324,38,589,14,561,36,247,188,95
10,56.5038,256,324,38,589,14,561,36,247,188,95
