n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,45.9092,99,36,166,139,275,374,506,255,30,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,45.6954,99,36,166,139,275,374,506,30,988,31
10,42.9899,99,36,166,139,275,374,506,222,798,31
10,42.9899,99,36,166,139,275,374,506,222,798,31
10,42.9899,99,36,166,139,275,374,506,222,798,31
