n_nodes,influence,n0,n1,n2,n3,n4
5,1000.0000,36,620,972,621,728
5,1000.0000,993,835,808,781,372
5,1000.0000,930,781,224,621,36
5,1000.0000,930,620,372,808,606
5,1000.0000,930,905,808,781,372
5,1000.0000,224,860,781,372,993
5,1000.0000,930,808,620,972,621
5,1000.0000,930,781,372,57,594
5,1000.0000,972,781,224,621,606
5,1000.0000,972,620,372,808,606
5,1000.0000,930,808,781,372,509
5,1000.0000,158,752,274,372,993
5,1000.0000,817,36,620,972,621
5,1000.0000,930,781,372,808,606
5,1000.0000,930,808,781,372,993
5,1000.0000,158,752,274,372,509
