n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,63.5903,992,122,9,22,26,29,31
7,63.5903,992,122,9,22,26,29,31
7,63.5903,992,122,9,22,26,29,31
7,61.7844,992,325,9,22,100,29,31
7,61.4796,992,74,9,22,26,29,31
7,61.3548,992,325,9,22,46,29,31
7,61.3548,992,325,9,22,46,29,31
7,60.9148,126,325,9,22,26,29,31
7,60.9148,126,325,9,22,26,29,31
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
7,60.6607,992,9,325,31,22,26,29
