n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.9004,344,99,36,13,374,613,698
7,37.7229,99,36,613,13,374,344,378
7,37.3092,930,99,36,13,374,613,698
7,37.3092,930,99,36,13,374,613,698
7,37.3092,930,99,36,13,374,613,698
7,37.3092,930,99,36,13,374,613,698
7,37.3092,930,99,36,13,374,613,698
7,37.3092,930,99,36,13,374,613,698
