n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,40.7438,68,7,200,935,559,409,219
7,40.7438,68,7,200,935,559,409,219
7,40.7438,68,7,200,935,559,409,219
7,40.7438,68,7,200,935,559,409,219
7,40.7438,68,7,200,935,559,409,219
7,40.6628,68,7,200,935,559,348,320
7,40.2303,68,422,7,200,903,409,219
7,40.1748,320,68,773,935,200,7,348
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
7,40.1444,68,219,935,200,7,207,409
