generation number, individual number, fitness, candidate
0, 0, 533.1, [2741, 15455, 21281, 21508, 14265, 6610, 5052, 12212, 543, 9017, 4241, 19865, 17075, 19423, 11861, 6264, 9785, 24371, 773, 21012, 22691, 20511, 14599, 339, 22366, 4575, 4164, 5901, 11400, 18866, 615, 15108, 24559, 13929, 13142, 2710, 15003, 13801, 7689, 24924, 16310, 1653, 10762, 12365, 4416, 13556, 3345, 16994, 5346, 1217]
0, 1, 513.97, [21012, 23836, 14746, 15244, 18866, 22691, 6610, 10096, 11372, 15003, 22457, 2042, 7689, 11400, 14924, 19423, 543, 17655, 13801, 4550, 3345, 24057, 20511, 19297, 7350, 16310, 23382, 615, 23614, 21281, 482, 676, 449, 5346, 17075, 2115, 25034, 13008, 1488, 4952, 22366, 2710, 13142, 9710, 2741, 15108, 2846, 4575, 13276, 21508]
1, 0, 533.1, [2741, 15455, 21281, 21508, 14265, 6610, 5052, 12212, 543, 9017, 4241, 19865, 17075, 19423, 11861, 6264, 9785, 24371, 773, 21012, 22691, 20511, 14599, 339, 22366, 4575, 4164, 5901, 11400, 18866, 615, 15108, 24559, 13929, 13142, 2710, 15003, 13801, 7689, 24924, 16310, 1653, 10762, 12365, 4416, 13556, 3345, 16994, 5346, 1217]
1, 1, 530.54, [2741, 15455, 19865, 676, 21281, 14265, 6610, 2710, 5052, 21508, 13801, 17501, 12212, 9017, 19423, 6264, 773, 11861, 14599, 543, 11400, 7689, 17075, 4241, 9785, 10762, 4575, 24371, 22366, 5901, 3345, 615, 21012, 24559, 15003, 13929, 4164, 20511, 22691, 18866, 16310, 4416, 1653, 13142, 1217, 12365, 24924, 13556, 16994, 5346]
2, 0, 538.69, [2741, 15455, 9017, 18487, 21281, 14265, 6610, 4164, 5052, 21508, 20478, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 24559, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
2, 1, 537.56, [2741, 15455, 449, 24371, 21281, 14265, 6610, 20765, 5052, 21508, 16310, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 4135, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
3, 0, 538.69, [2741, 15455, 9017, 18487, 21281, 14265, 6610, 4164, 5052, 21508, 20478, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 24559, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
3, 1, 536.58, [2741, 15455, 14265, 9017, 12587, 18487, 4164, 6264, 21281, 5052, 20478, 21508, 773, 15108, 14599, 11400, 19423, 7689, 10762, 12212, 11861, 5901, 4241, 23382, 21012, 2710, 19865, 4575, 15003, 9785, 543, 20511, 615, 22366, 24559, 17075, 22691, 13929, 339, 18866, 4416, 13801, 1217, 1653, 12365, 13142, 24924, 16994, 5346, 13556]
4, 0, 538.69, [2741, 15455, 9017, 18487, 21281, 14265, 6610, 4164, 5052, 21508, 20478, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 24559, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
4, 1, 535.48, [2741, 15455, 7689, 9017, 12587, 18487, 14265, 6610, 615, 4164, 20478, 10096, 12927, 21281, 21508, 773, 6264, 19423, 15108, 14599, 11400, 11861, 10762, 4241, 12212, 3345, 21012, 2710, 4575, 19865, 15003, 20511, 9785, 22366, 543, 24559, 22691, 339, 13929, 18866, 17075, 4416, 13801, 1217, 1653, 12365, 13142, 24924, 5346, 13556]
5, 0, 538.69, [2741, 15455, 9017, 18487, 21281, 14265, 6610, 4164, 5052, 21508, 20478, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 24559, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
5, 1, 530.07, [2741, 15455, 21508, 9017, 543, 18487, 14265, 6610, 9785, 4164, 20478, 5346, 5052, 21281, 15108, 773, 6264, 19423, 14599, 11400, 7689, 11861, 10762, 5901, 12212, 4241, 3345, 21012, 4575, 2710, 19865, 15003, 20511, 615, 22366, 24559, 22691, 18866, 13929, 339, 17075, 4416, 13801, 14615, 1653, 12365, 13142, 24924, 16994, 13556]
6, 0, 538.69, [2741, 15455, 9017, 18487, 21281, 14265, 6610, 4164, 5052, 21508, 20478, 15108, 12212, 773, 19423, 6264, 14599, 11861, 543, 11400, 7689, 17075, 4241, 9785, 19865, 10762, 4575, 5901, 22366, 339, 3345, 615, 21012, 24559, 2710, 13929, 15003, 22691, 20511, 13801, 18866, 4416, 1653, 1217, 13142, 12365, 24924, 13556, 16994, 5346]
6, 1, 534.6, [2741, 15455, 773, 9017, 7007, 18487, 14265, 6610, 23134, 4164, 20478, 5346, 5052, 21281, 21508, 15108, 6264, 19423, 14599, 7689, 10762, 11861, 5901, 4241, 12212, 3345, 21012, 2710, 4575, 15003, 20511, 543, 9785, 615, 22366, 24559, 22691, 18866, 13929, 339, 23836, 4416, 13801, 1217, 1653, 12365, 13142, 24924, 16994, 13556]
6, 2, 531.85, [2741, 15455, 6700, 9017, 11400, 18487, 14265, 6610, 19865, 4164, 20478, 5934, 5052, 21281, 21508, 15108, 6264, 19423, 14599, 7689, 10762, 11861, 9710, 4241, 12212, 3345, 21012, 2710, 4575, 15003, 20511, 543, 9785, 615, 22366, 24559, 22691, 18866, 13929, 339, 17075, 4416, 13801, 1217, 1653, 12365, 13142, 24924, 16994, 13556]
7, 0, 545.85, [2741, 15455, 7350, 9017, 15108, 18487, 14265, 7307, 4164, 21012, 20478, 5052, 21281, 21508, 773, 14599, 6264, 11400, 7689, 10762, 11861, 5901, 12212, 4241, 3345, 2710, 19865, 15003, 4575, 20511, 25006, 543, 22366, 615, 22691, 24559, 18866, 339, 13929, 17075, 4416, 1217, 13801, 12365, 1653, 13142, 24924, 16994, 5346, 13556]
