generation number, individual number, fitness, candidate
0, 0, 52.94, [81464, 55665, 200592, 80016, 118265, 90050, 205811, 150160, 152323, 190479, 137925, 184362, 227597, 201273, 8353, 161176, 131248, 111714, 206916, 142239, 31010, 159179, 174086, 82307, 124798, 212139, 5671, 101643, 114818, 244936, 135801, 26495, 17369, 22046, 170199, 223554, 68604, 85219, 1282, 15703, 36008, 173333, 25492, 173276, 165112, 103157, 26566, 261823, 237235, 217895]
0, 1, 52.83, [245926, 105624, 72157, 155851, 112509, 176890, 77549, 152071, 250883, 234905, 150352, 216846, 166985, 28430, 199803, 64717, 81586, 208559, 101791, 217388, 182377, 16730, 643, 133128, 48122, 189426, 76418, 46603, 63263, 75891, 164459, 114541, 125951, 175836, 234029, 177651, 139009, 235462, 85890, 7319, 122468, 218634, 166444, 120897, 102905, 184209, 186074, 164557, 13247, 52249]
0, 2, 52.81, [134745, 146174, 190569, 73567, 37789, 11240, 119693, 218332, 207998, 249847, 223786, 234778, 73294, 134599, 96414, 82393, 123920, 67888, 94117, 72411, 134728, 217494, 59320, 249637, 218923, 201605, 239119, 89150, 83333, 211488, 167752, 152513, 89398, 118272, 132079, 83409, 169553, 238679, 110266, 60982, 186331, 215715, 192292, 175352, 212828, 61191, 76964, 103910, 69190, 65331]
0, 3, 52.77, [134035, 164299, 197262, 115998, 153286, 228963, 119336, 35041, 232919, 234027, 233439, 28105, 79673, 214410, 193629, 219061, 3392, 148749, 224953, 10171, 166927, 35246, 248265, 110878, 83717, 84304, 169694, 73604, 76403, 125162, 221557, 115837, 139351, 92275, 258151, 41611, 192, 217719, 30289, 158491, 13547, 102935, 26454, 94191, 243893, 2846, 252220, 185118, 128381, 238894]
0, 4, 52.77, [26217, 161304, 63591, 213792, 98606, 244655, 9034, 158270, 216760, 207925, 184660, 50132, 75168, 234305, 224842, 241734, 46992, 90349, 28591, 94120, 90503, 134177, 241290, 164108, 186379, 59461, 154625, 66599, 131539, 212573, 200495, 112930, 110947, 54185, 9160, 134074, 221054, 50338, 68969, 250828, 101290, 26623, 122679, 17905, 27951, 4402, 72384, 11209, 51264, 105828]
0, 5, 52.7, [250533, 192936, 198236, 161908, 204358, 108572, 205931, 177020, 42181, 13817, 166662, 240038, 92666, 79817, 248027, 226923, 46368, 122844, 36260, 18022, 193686, 173833, 36987, 130250, 36393, 243871, 136828, 182367, 214054, 136190, 150319, 92611, 198586, 93722, 62932, 61363, 59542, 5373, 125985, 184602, 259562, 203089, 184072, 55689, 249238, 74209, 119259, 140301, 129742, 113099]
0, 6, 52.7, [28905, 80414, 43181, 141529, 254774, 176698, 64067, 65289, 87874, 131276, 159117, 26038, 126737, 34012, 190111, 233006, 132397, 35866, 122361, 223937, 125734, 141849, 46644, 121026, 115718, 123981, 28403, 122180, 100919, 128963, 17814, 174333, 138931, 73668, 222522, 216104, 235160, 53918, 94299, 80058, 73238, 100217, 189718, 242148, 92422, 6689, 137417, 185416, 222282, 1378]
0, 7, 52.69, [14534, 44096, 235795, 218378, 187913, 97875, 254137, 252138, 55823, 61124, 236763, 177939, 2975, 78419, 132056, 177632, 102533, 197988, 31922, 186041, 201567, 209158, 81872, 15818, 236937, 174490, 193597, 181575, 219089, 178818, 232003, 77900, 212098, 143179, 186885, 73311, 1250, 226155, 32390, 218357, 54600, 182653, 159187, 174040, 573, 110963, 41429, 28068, 109624, 157937]
0, 8, 52.68, [36258, 212501, 108566, 128448, 259127, 213138, 78986, 221637, 230787, 215767, 194932, 186348, 187698, 4880, 167844, 119660, 208445, 235951, 223538, 59668, 18291, 118543, 47226, 84253, 158634, 90556, 50920, 115549, 144945, 144487, 112128, 23835, 31007, 219658, 29753, 126477, 2097, 232483, 209745, 232979, 24620, 5939, 253124, 208707, 256965, 70424, 177370, 85869, 93229, 175442]
0, 9, 52.67, [184109, 184200, 183173, 259981, 54427, 226020, 21200, 103526, 232503, 60952, 39881, 131732, 56102, 101245, 244108, 54942, 191400, 57796, 244412, 253601, 96619, 134843, 67743, 20731, 182016, 125953, 254210, 98817, 145096, 114084, 122776, 257998, 243904, 255943, 261770, 144535, 201584, 138929, 42719, 199615, 80804, 129959, 124479, 134098, 71154, 97759, 116510, 178771, 331, 18974]
