n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,147.4000,36,869,970,177,91,181,564,21,217,573
10,147.1600,36,869,970,177,180,392,564,21,217,573
10,145.7900,36,869,970,177,91,181,564,21,217,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.2500,217,869,36,970,177,180,181,564,21,573
10,145.1800,36,869,368,177,180,181,564,21,217,573
10,145.0300,36,869,368,177,180,181,564,21,217,573
10,145.0300,36,869,368,177,180,181,564,21,217,573
