n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,145.2000,166,712,937,620,687,20,951,29,30,118
10,139.6800,166,712,937,168,687,20,951,154,29,286
10,137.3200,712,937,166,620,687,20,951,30,29,286
10,137.3200,712,937,166,620,687,20,951,30,29,286
10,137.3200,712,937,166,620,687,20,951,30,29,286
10,137.3200,712,937,166,620,687,20,951,30,29,286
10,137.3200,712,937,166,620,687,20,951,30,29,286
10,136.8500,166,608,937,620,687,20,951,29,30,286
10,135.7200,712,937,166,620,687,20,951,154,29,286
10,135.7200,712,937,166,620,687,20,951,154,29,286
10,135.2700,712,937,166,620,687,20,951,154,29,286
10,135.2700,712,937,166,620,687,20,951,154,29,286
10,135.2700,712,937,166,620,687,20,951,154,29,286
10,135.2700,712,937,166,620,687,20,951,154,29,286
10,134.7400,712,937,166,620,687,20,951,30,29,286
10,134.6200,166,712,937,620,687,20,951,30,29,286
