n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,157.4900,2,102,71,938,769,944,657,22,857,190
10,157.4900,2,102,71,938,769,944,657,22,857,190
10,157.4900,2,102,71,938,769,944,657,22,857,190
10,157.4900,2,102,71,938,769,944,657,22,857,190
10,155.9400,769,2,102,71,938,910,657,22,857,190
10,153.4400,2,102,938,426,71,944,657,22,857,190
10,153.4400,2,102,938,426,71,944,657,22,857,190
10,153.4400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,153.2400,2,102,938,426,71,944,657,22,857,190
10,152.8200,2,102,938,426,71,944,657,22,857,190
